person,sites
http://www.wikidata.org/entity/Q8440,139
http://www.wikidata.org/entity/Q8462,139
http://www.wikidata.org/entity/Q1426,138
http://www.wikidata.org/entity/Q1203,138
http://www.wikidata.org/entity/Q142794,138
http://www.wikidata.org/entity/Q5105,138
http://www.wikidata.org/entity/Q36322,138
http://www.wikidata.org/entity/Q7199,138
http://www.wikidata.org/entity/Q56226,138
http://www.wikidata.org/entity/Q11813,137
http://www.wikidata.org/entity/Q11817,137
http://www.wikidata.org/entity/Q11815,137
http://www.wikidata.org/entity/Q23530,137
http://www.wikidata.org/entity/Q7011,137
http://www.wikidata.org/entity/Q9130,137
http://www.wikidata.org/entity/Q9235,137
http://www.wikidata.org/entity/Q7312,137
http://www.wikidata.org/entity/Q132345,136
http://www.wikidata.org/entity/Q1290,136
http://www.wikidata.org/entity/Q11816,136
http://www.wikidata.org/entity/Q33391,136
http://www.wikidata.org/entity/Q36844,136
http://www.wikidata.org/entity/Q36215,136
http://www.wikidata.org/entity/Q7231,136
http://www.wikidata.org/entity/Q34436,135
http://www.wikidata.org/entity/Q34836,135
http://www.wikidata.org/entity/Q9387,135
http://www.wikidata.org/entity/Q5812,135
http://www.wikidata.org/entity/Q10132,134
http://www.wikidata.org/entity/Q34453,134
http://www.wikidata.org/entity/Q34479,134
http://www.wikidata.org/entity/Q9317,134
http://www.wikidata.org/entity/Q7198,134
http://www.wikidata.org/entity/Q8467,134
http://www.wikidata.org/entity/Q7302,134
http://www.wikidata.org/entity/Q34660,133
http://www.wikidata.org/entity/Q34012,133
http://www.wikidata.org/entity/Q8413,133
http://www.wikidata.org/entity/Q7546,133
http://www.wikidata.org/entity/Q7314,133
http://www.wikidata.org/entity/Q9095,133
http://www.wikidata.org/entity/Q7197,133
http://www.wikidata.org/entity/Q9294,133
http://www.wikidata.org/entity/Q2185,132
http://www.wikidata.org/entity/Q231690,132
http://www.wikidata.org/entity/Q36023,132
http://www.wikidata.org/entity/Q409,132
http://www.wikidata.org/entity/Q83338,132
http://www.wikidata.org/entity/Q1316,131
http://www.wikidata.org/entity/Q1541,131
http://www.wikidata.org/entity/Q11820,131
http://www.wikidata.org/entity/Q38111,131
http://www.wikidata.org/entity/Q8474,131
http://www.wikidata.org/entity/Q6240,131
