person,sites
http://www.wikidata.org/entity/Q831685,37
http://www.wikidata.org/entity/Q219493,37
http://www.wikidata.org/entity/Q754837,37
http://www.wikidata.org/entity/Q719866,37
http://www.wikidata.org/entity/Q1043344,37
http://www.wikidata.org/entity/Q842945,37
http://www.wikidata.org/entity/Q632908,37
http://www.wikidata.org/entity/Q295599,37
http://www.wikidata.org/entity/Q581353,37
http://www.wikidata.org/entity/Q534153,37
http://www.wikidata.org/entity/Q51727,37
http://www.wikidata.org/entity/Q536138,36
http://www.wikidata.org/entity/Q206324,36
http://www.wikidata.org/entity/Q840291,36
http://www.wikidata.org/entity/Q1996763,36
http://www.wikidata.org/entity/Q51755,36
http://www.wikidata.org/entity/Q842104,36
http://www.wikidata.org/entity/Q366957,36
http://www.wikidata.org/entity/Q372468,36
http://www.wikidata.org/entity/Q2708078,36
http://www.wikidata.org/entity/Q16311,36
http://www.wikidata.org/entity/Q47386,36
http://www.wikidata.org/entity/Q682396,36
http://www.wikidata.org/entity/Q47345,36
http://www.wikidata.org/entity/Q51790,36
http://www.wikidata.org/entity/Q194135,36
http://www.wikidata.org/entity/Q16276,35
http://www.wikidata.org/entity/Q937186,35
http://www.wikidata.org/entity/Q1622359,35
http://www.wikidata.org/entity/Q604687,35
http://www.wikidata.org/entity/Q623553,35
http://www.wikidata.org/entity/Q220453,35
http://www.wikidata.org/entity/Q47255,35
http://www.wikidata.org/entity/Q746277,35
http://www.wikidata.org/entity/Q1046049,35
http://www.wikidata.org/entity/Q719114,35
http://www.wikidata.org/entity/Q717594,35
http://www.wikidata.org/entity/Q28465,35
http://www.wikidata.org/entity/Q716636,35
http://www.wikidata.org/entity/Q15620419,35
http://www.wikidata.org/entity/Q375671,35
http://www.wikidata.org/entity/Q376682,35
http://www.wikidata.org/entity/Q951317,35
http://www.wikidata.org/entity/Q430178,35
http://www.wikidata.org/entity/Q3255012,34
http://www.wikidata.org/entity/Q320606,34
http://www.wikidata.org/entity/Q1779558,34
http://www.wikidata.org/entity/Q3174865,34
http://www.wikidata.org/entity/Q833933,34
http://www.wikidata.org/entity/Q34358,34
http://www.wikidata.org/entity/Q309433,34
http://www.wikidata.org/entity/Q384193,34
http://www.wikidata.org/entity/Q568553,34
http://www.wikidata.org/entity/Q623732,34
http://www.wikidata.org/entity/Q1973947,34
http://www.wikidata.org/entity/Q715312,34
http://www.wikidata.org/entity/Q840305,34
http://www.wikidata.org/entity/Q219498,34
http://www.wikidata.org/entity/Q767983,34
http://www.wikidata.org/entity/Q21772117,34
http://www.wikidata.org/entity/Q2021531,33
http://www.wikidata.org/entity/Q1976616,33
http://www.wikidata.org/entity/Q259818,33
http://www.wikidata.org/entity/Q975100,33
http://www.wikidata.org/entity/Q1235172,33
http://www.wikidata.org/entity/Q1189756,33
http://www.wikidata.org/entity/Q700543,33
http://www.wikidata.org/entity/Q831462,33
http://www.wikidata.org/entity/Q584585,33
http://www.wikidata.org/entity/Q842178,33
http://www.wikidata.org/entity/Q121806,33
http://www.wikidata.org/entity/Q51794,33
http://www.wikidata.org/entity/Q51793,33
http://www.wikidata.org/entity/Q51792,33
http://www.wikidata.org/entity/Q158931,33
http://www.wikidata.org/entity/Q858432,33
http://www.wikidata.org/entity/Q728510,33
http://www.wikidata.org/entity/Q1640063,33
http://www.wikidata.org/entity/Q1750634,33
http://www.wikidata.org/entity/Q1056425,32
http://www.wikidata.org/entity/Q783947,32
http://www.wikidata.org/entity/Q632212,32
http://www.wikidata.org/entity/Q814168,32
http://www.wikidata.org/entity/Q944203,32
http://www.wikidata.org/entity/Q629583,32
http://www.wikidata.org/entity/Q1051459,32
http://www.wikidata.org/entity/Q7620503,32
http://www.wikidata.org/entity/Q2639150,32
http://www.wikidata.org/entity/Q928596,32
http://www.wikidata.org/entity/Q1254860,32
http://www.wikidata.org/entity/Q51799,32
http://www.wikidata.org/entity/Q747424,32
http://www.wikidata.org/entity/Q1637813,32
http://www.wikidata.org/entity/Q155755,32
http://www.wikidata.org/entity/Q488875,32
http://www.wikidata.org/entity/Q845922,31
http://www.wikidata.org/entity/Q1158157,31
http://www.wikidata.org/entity/Q830561,31
http://www.wikidata.org/entity/Q1114418,31
http://www.wikidata.org/entity/Q843545,31
http://www.wikidata.org/entity/Q2076759,31
http://www.wikidata.org/entity/Q857921,31
http://www.wikidata.org/entity/Q865017,31
