,person,sites,entity_id,label,description,wikipedia_url,user,likert_response
395,http://www.wikidata.org/entity/Q242562,20,Q242562,Big Bird,Sesame Street character,https://en.wikipedia.org/wiki/Big_Bird,swimfellow,
396,http://www.wikidata.org/entity/Q60256,25,Q60256,Wilhelm Backhaus,German pianist (1884–1969),https://en.wikipedia.org/wiki/Wilhelm_Backhaus,swimfellow,
397,http://www.wikidata.org/entity/Q171976,52,Q171976,Alexander Ostrovsky,Russian playwright (1823-1886),https://en.wikipedia.org/wiki/Alexander_Ostrovsky,swimfellow,
398,http://www.wikidata.org/entity/Q189012,51,Q189012,Alex Song,Cameroonian and French footballer,https://en.wikipedia.org/wiki/Alex_Song,swimfellow,
399,http://www.wikidata.org/entity/Q944198,23,Q944198,John Stockwell,American actor and director,https://en.wikipedia.org/wiki/John_Stockwell_(actor),swimfellow,
400,http://www.wikidata.org/entity/Q52405,23,Q52405,Princess Fiona,character of the Shrek film series,https://en.wikipedia.org/wiki/Princess_Fiona,swimfellow,
401,http://www.wikidata.org/entity/Q982529,20,Q982529,Federigo Enriques,Italian mathematician (1871-1946),https://en.wikipedia.org/wiki/Federigo_Enriques,swimfellow,
402,http://www.wikidata.org/entity/Q210134,38,Q210134,Louis Kahn,Estonian-American architect (1901–1974),https://en.wikipedia.org/wiki/Louis_Kahn,swimfellow,
403,http://www.wikidata.org/entity/Q741321,38,Q741321,Woody Woodpecker,fictional bird,https://en.wikipedia.org/wiki/Woody_Woodpecker,swimfellow,
404,http://www.wikidata.org/entity/Q2291154,25,Q2291154,Kratos,fictional character from video game series God of War,https://en.wikipedia.org/wiki/Kratos_(God_of_War),swimfellow,
405,http://www.wikidata.org/entity/Q470656,21,Q470656,Paul G. Comba,American astronomer (1926–2017),https://en.wikipedia.org/wiki/Paul_G._Comba,swimfellow,
406,http://www.wikidata.org/entity/Q1162374,26,Q1162374,Faustulus,Roman mythological figure,https://en.wikipedia.org/wiki/Faustulus,swimfellow,
407,http://www.wikidata.org/entity/Q40033408,20,Q40033408,Yukako Kawai,Japanese amateur wrestler (1997-),https://en.wikipedia.org/wiki/Yukako_Kawai,swimfellow,
408,http://www.wikidata.org/entity/Q356696,25,Q356696,Jethro Tull,"British agricultural pioneer, activist of the British Agricultural Revolution",https://en.wikipedia.org/wiki/Jethro_Tull_(agriculturist),swimfellow,
409,http://www.wikidata.org/entity/Q715426,24,Q715426,Martin St. Louis,Canadian ice hockey player and coach,https://en.wikipedia.org/wiki/Martin_St._Louis,swimfellow,
410,http://www.wikidata.org/entity/Q838512,25,Q838512,Barney Stinson,fictional character In the American television series How I Met Your Mother,https://en.wikipedia.org/wiki/Barney_Stinson,swimfellow,
411,http://www.wikidata.org/entity/Q1754267,26,Q1754267,Cookie Monster,character from the television series Sesame Street,https://en.wikipedia.org/wiki/Cookie_Monster,swimfellow,
412,http://www.wikidata.org/entity/Q774644,23,Q774644,Arabella Figg,character in Harry Potter,https://en.wikipedia.org/wiki/Arabella_Figg,swimfellow,
413,http://www.wikidata.org/entity/Q259998,27,Q259998,Marion Ross,American actress,https://en.wikipedia.org/wiki/Marion_Ross,swimfellow,
414,http://www.wikidata.org/entity/Q724254,22,Q724254,Mikael Tariverdiev,Soviet composer of Armenian descent (1931–1996),https://en.wikipedia.org/wiki/Mikael_Tariverdiev,swimfellow,
415,http://www.wikidata.org/entity/Q752877,24,Q752877,William Riker,fictional character in Star Trek,https://en.wikipedia.org/wiki/William_Riker,swimfellow,
416,http://www.wikidata.org/entity/Q1627590,27,Q1627590,Peter Pevensie,"fictional English boy, a lead character in the first two Narnia books",https://en.wikipedia.org/wiki/Peter_Pevensie,swimfellow,
